1439887,-5.114,7.319,0.247,-0.068,0.015,-0.005,1653,0,0

1439907,-5.181,7.386,0.323,-0.059,0.042,-0.026,1654,0,0

1439927,-5.313,7.549,0.431,-0.043,0.056,-0.044,1654,0,0

1439947,-5.377,7.815,0.496,-0.045,0.046,-0.058,1654,0,0

1439967,-5.432,7.949,0.622,-0.083,0.047,-0.049,1653,0,0

1439987,-5.468,7.985,0.749,-0.063,0.032,-0.029,1654,0,0

1440007,-5.461,8.047,0.711,-0.041,0.002,-0.010,1655,0,0

1440027,-5.353,8.042,0.517,-0.069,-0.024,0.015,1654,0,0

1440047,-5.229,7.779,0.429,-0.073,-0.035,0.038,1654,0,0

1440067,-5.131,7.518,0.297,-0.058,-0.025,0.030,1654,0,0

1440087,-5.112,7.384,0.235,-0.050,-0.004,0.005,1654,0,0

1440107,-5.203,7.420,0.244,-0.046,0.015,-0.014,1655,0,0

1440127,-5.255,7.515,0.283,-0.041,0.028,-0.023,1654,0,0

1440147,-5.296,7.592,0.354,-0.065,0.057,-0.028,1654,0,0

1440167,-5.322,7.693,0.517,-0.049,0.063,-0.041,1655,0,0

1440187,-5.406,7.877,0.601,-0.071,0.049,-0.050,1655,0,0

1440207,-5.464,8.025,0.642,-0.075,0.022,-0.029,1655,0,0

1440227,-5.492,8.006,0.646,-0.061,0.011,0.004,1655,0,0

1440247,-5.432,7.882,0.599,-0.062,-0.002,0.022,1654,0,0

1440267,-5.310,7.827,0.405,-0.065,-0.028,0.024,1652,0,0

1440287,-5.174,7.724,0.239,-0.075,-0.035,0.028,1653,0,0

1440307,-5.083,7.513,0.215,-0.081,-0.006,0.031,1654,0,0

1440327,-5.104,7.393,0.290,-0.052,0.031,0.015,1653,0,0

1440347,-5.188,7.456,0.335,-0.054,0.031,-0.007,1653,0,0

1440367,-5.272,7.549,0.376,-0.065,0.032,-0.019,1653,0,0

1440387,-5.327,7.616,0.508,-0.045,0.034,-0.029,1654,0,0

1440407,-5.399,7.781,0.534,-0.058,0.039,-0.033,1652,0,0

1440427,-5.420,7.877,0.524,-0.079,0.021,-0.028,1653,0,0

1440447,-5.471,7.934,0.505,-0.058,0.009,-0.016,1653,0,0

1440467,-5.375,7.922,0.551,-0.051,0.013,0.001,1654,0,0

1440487,-5.291,7.841,0.532,-0.061,-0.001,0.013,1653,0,0

1440507,-5.176,7.743,0.433,-0.059,-0.031,0.016,1653,0,0

1440527,-5.157,7.635,0.283,-0.076,-0.033,0.017,1653,0,0

1440547,-5.145,7.489,0.278,-0.073,0.001,0.012,1653,0,0

1440567,-5.191,7.412,0.335,-0.037,0.026,0.002,1652,0,0

1440587,-5.222,7.489,0.350,-0.036,0.022,-0.010,1653,0,0

1440607,-5.265,7.530,0.388,-0.070,0.019,-0.025,1653,0,0

1440627,-5.399,7.604,0.508,-0.068,0.037,-0.045,1653,0,0

1440647,-5.480,7.865,0.508,-0.035,0.036,-0.043,1653,0,0

1440667,-5.473,8.011,0.512,-0.052,0.009,-0.022,1654,0,0

1440687,-5.349,8.006,0.503,-0.071,-0.002,-0.003,1654,0,0

1440707,-5.306,8.068,0.508,-0.056,0.014,-0.001,1654,0,0

1440727,-5.301,8.250,0.560,-0.007,0.021,0.010,1654,0,0

1440747,-5.365,8.490,0.543,0.037,0.012,0.049,1654,0,0

1440767,-5.483,8.437,0.474,-0.007,-0.029,0.109,1654,0,0

1440787,-5.310,7.985,0.323,-0.100,-0.048,0.152,1654,0,0

1440807,-5.090,7.530,0.141,-0.103,-0.047,0.156,1654,0,0

1440827,-4.992,7.326,0.024,-0.098,-0.025,0.134,1656,0,0

1440847,-5.030,7.082,0.115,-0.108,0.032,0.113,1655,0,0

1440867,-5.150,6.802,0.364,-0.058,0.058,0.080,1656,0,0

1440887,-5.200,6.630,0.381,-0.023,0.034,0.043,1656,0,0

1440907,-5.083,6.563,0.259,-0.041,0.004,-0.015,1655,0,0

1440927,-4.906,6.711,0.196,-0.041,0.031,-0.081,1656,0,0

1440947,-4.851,7.116,0.184,0.026,0.097,-0.134,1655,0,0

1440967,-4.956,7.740,0.211,0.085,0.140,-0.149,1655,0,0

1440987,-5.092,8.152,0.400,0.071,0.146,-0.132,1654,0,0

1441007,-5.258,8.353,0.702,0.044,0.157,-0.109,1655,0,0

1441027,-5.375,8.507,0.828,0.054,0.113,-0.087,1655,0,0

1441047,-5.509,8.624,0.678,0.050,0.035,-0.034,1654,0,0

1441067,-5.373,8.329,0.464,-0.040,-0.017,0.010,1655,0,0

1441087,-5.385,8.023,0.235,-0.022,-0.015,0.038,1656,0,0

1441107,-5.262,7.812,0.053,0.024,0.010,0.046,1656,0,0

1441127,-5.097,7.693,-0.031,-0.012,0.045,0.034,1654,0,0

1441147,-5.035,7.558,0.026,-0.021,0.075,0.020,1655,0,0

1441167,-5.045,7.535,0.067,-0.004,0.088,0.011,1655,0,0

1441187,-5.047,7.511,0.141,0.018,0.099,0.005,1655,0,0

1441207,-5.021,7.362,0.237,0.001,0.110,-0.007,1654,0,0

1441227,-4.994,7.281,0.342,0.050,0.111,-0.044,1655,0,0

1441247,-5.030,7.420,0.304,0.074,0.088,-0.096,1655,0,0

1441267,-5.131,7.702,0.187,0.047,0.065,-0.122,1654,0,0

1441287,-5.152,7.896,0.134,0.052,0.071,-0.110,1654,0,0

1441307,-5.250,7.860,0.103,0.067,0.081,-0.103,1654,0,0

1441327,-5.286,7.875,0.048,0.055,0.068,-0.111,1655,0,0

1441347,-5.337,7.920,-0.067,0.025,0.040,-0.113,1654,0,0

1441367,-5.389,7.934,-0.127,0.007,0.040,-0.107,1654,0,0

1441387,-5.452,7.954,-0.227,0.009,0.051,-0.101,1655,0,0

1441407,-5.495,7.987,-0.239,0.005,0.047,-0.079,1654,0,0

1441427,-5.528,7.812,-0.196,-0.039,0.055,-0.061,1654,0,0

1441447,-5.557,7.623,-0.105,-0.044,0.058,-0.060,1655,0,0

1441467,-5.559,7.594,-0.115,-0.035,0.041,-0.062,1654,0,0

1441487,-5.574,7.697,-0.266,-0.039,0.021,-0.062,1655,0,0

1441507,-5.614,7.659,-0.340,-0.046,0.027,-0.051,1655,0,0

1441527,-5.674,7.652,-0.314,-0.055,0.046,-0.048,1655,0,0

1441547,-5.672,7.563,-0.225,-0.048,0.054,-0.037,1654,0,0

1441567,-5.691,7.690,-0.297,-0.044,0.031,-0.045,1654,0,0

1441587,-5.693,7.769,-0.204,-0.061,0.028,-0.037,1655,0,0

1441607,-5.732,7.788,-0.115,-0.096,0.031,-0.033,1654,0,0

1441627,-5.760,7.934,-0.055,-0.074,0.006,-0.022,1654,0,0

1441647,-5.799,8.035,-0.072,-0.111,-0.016,0.016,1654,0,0

1441667,-5.679,7.934,-0.105,-0.104,-0.037,0.063,1655,0,0

1441687,-5.567,7.709,-0.105,-0.086,-0.041,0.085,1654,0,0

1441707,-5.437,7.638,-0.165,-0.104,-0.048,0.076,1655,0,0

1441727,-5.420,7.604,-0.182,-0.104,-0.054,0.068,1655,0,0

1441747,-5.444,7.618,-0.201,-0.091,-0.040,0.068,1655,0,0

1441767,-5.490,7.769,-0.230,-0.063,-0.017,0.072,1655,0,0

1441787,-5.476,7.843,-0.290,-0.073,0.004,0.099,1654,0,0

1441807,-5.373,7.767,-0.278,-0.061,0.020,0.121,1654,0,0

1441827,-5.183,7.570,-0.148,-0.075,0.032,0.120,1654,0,0

1441847,-5.064,7.458,-0.002,-0.099,0.044,0.101,1656,0,0

1441867,-5.009,7.441,0.077,-0.058,0.033,0.067,1655,0,0

1441887,-5.085,7.556,0.045,-0.055,0.021,0.034,1653,0,0

1441907,-5.152,7.767,-0.062,-0.064,0.001,0.017,1654,0,0

1441927,-5.133,7.903,-0.160,-0.064,0.003,0.013,1653,0,0

1441947,-5.090,7.839,-0.180,-0.127,0.012,0.002,1655,0,0

1441967,-5.035,7.702,-0.093,-0.150,0.017,-0.016,1654,0,0

1441987,-5.083,7.707,-0.065,-0.103,0.009,-0.030,1654,0,0

1442007,-5.152,7.788,-0.089,-0.111,0.003,-0.037,1654,0,0

1442027,-5.258,7.807,-0.146,-0.096,0.020,-0.024,1654,0,0

1442047,-5.306,7.784,-0.146,-0.062,0.037,-0.020,1654,0,0

1442067,-5.291,7.712,-0.139,-0.101,0.049,-0.021,1655,0,0

1442087,-5.207,7.666,-0.134,-0.113,0.039,-0.015,1655,0,0

1442107,-5.167,7.566,-0.108,-0.099,0.033,-0.019,1653,0,0

1442127,-5.121,7.470,-0.103,-0.129,0.050,-0.034,1655,0,0

1442147,-5.250,7.537,-0.096,-0.086,0.056,-0.054,1655,0,0

1442167,-5.310,7.630,-0.189,-0.095,0.054,-0.065,1655,0,0

1442187,-5.411,7.719,-0.146,-0.111,0.050,-0.071,1654,0,0

1442207,-5.406,7.652,-0.055,-0.125,0.074,-0.071,1655,0,0

1442227,-5.440,7.671,0.084,-0.115,0.080,-0.079,1655,0,0

1442247,-5.476,7.683,0.261,-0.114,0.066,-0.085,1655,0,0

1442267,-5.578,7.848,0.278,-0.089,0.051,-0.073,1655,0,0

1442287,-5.631,7.939,0.283,-0.082,0.038,-0.054,1656,0,0

1442307,-5.593,7.925,0.259,-0.089,0.017,-0.034,1656,0,0

1442327,-5.497,7.807,0.230,-0.096,-0.010,-0.013,1655,0,0

1442347,-5.385,7.630,0.103,-0.100,-0.038,0.002,1655,0,0

1442367,-5.277,7.503,-0.024,-0.071,-0.040,0.002,1655,0,0

1442387,-5.265,7.525,-0.192,-0.073,-0.029,-0.008,1655,0,0

