1856467,-0.108,0.845,9.450,-0.034,0.033,-0.007,1772,0,0

1856487,-0.139,0.821,9.459,-0.075,0.030,-0.002,1772,0,0

1856507,-0.177,0.630,9.515,-0.115,0.007,-0.010,1773,0,0

1856527,-0.206,0.608,9.560,-0.102,-0.017,-0.034,1773,0,0

1856547,-0.184,0.634,9.412,-0.087,-0.022,-0.036,1772,0,0

1856567,-0.117,0.644,9.342,-0.063,-0.014,-0.039,1771,0,0

1856587,-0.060,0.613,9.273,-0.062,0.015,-0.028,1771,0,0

1856607,-0.050,0.661,9.273,-0.068,0.047,-0.028,1773,0,0

1856627,-0.101,0.718,9.438,-0.105,0.062,-0.044,1773,0,0

1856647,-0.151,0.728,9.627,-0.096,0.050,-0.040,1772,0,0

1856667,-0.132,0.692,9.570,-0.057,0.028,-0.027,1773,0,0

1856687,-0.108,0.697,9.565,-0.056,-0.001,-0.037,1772,0,0

1856707,-0.093,0.725,9.574,-0.094,-0.015,-0.046,1772,0,0

1856727,-0.134,0.800,9.555,-0.091,-0.015,-0.037,1772,0,0

1856747,-0.103,0.725,9.510,-0.085,-0.026,-0.024,1773,0,0

1856767,-0.022,0.649,9.421,-0.066,-0.026,-0.018,1772,0,0

1856787,-0.062,0.706,9.409,-0.069,0.010,-0.028,1772,0,0

1856807,-0.113,0.773,9.495,-0.082,0.021,-0.030,1773,0,0

1856827,-0.160,0.706,9.548,-0.087,-0.014,-0.028,1772,0,0

1856847,-0.103,0.711,9.474,-0.070,-0.038,-0.015,1771,0,0

1856867,-0.043,0.776,9.316,-0.032,-0.025,-0.017,1771,0,0

1856887,-0.007,0.764,9.345,-0.065,0.003,-0.006,1770,0,0

1856907,-0.055,0.608,9.448,-0.082,0.001,0.007,1770,0,0

1856927,-0.045,0.577,9.455,-0.064,-0.008,-0.002,1770,0,0

1856947,-0.022,0.654,9.273,-0.048,0.006,-0.008,1771,0,0

1856967,-0.048,0.687,9.318,-0.075,0.042,-0.007,1770,0,0

1856987,-0.079,0.606,9.474,-0.086,0.052,-0.004,1769,0,0

1857007,-0.175,0.603,9.574,-0.050,0.034,-0.005,1769,0,0

