3695495,3.163,8.973,1.817,0.014,-0.065,-0.007,2385,0
3695515,3.249,8.942,1.822,0.019,-0.051,-0.023,2387,0
3695535,3.232,9.012,1.822,0.035,-0.042,-0.029,2387,0
3695555,3.179,9.096,1.829,0.027,-0.05,-0.028,2387,0
3695575,3.208,9.0,1.769,0.023,-0.056,-0.028,2387,0
3695595,3.244,9.005,1.666,0.047,-0.055,-0.03,2388,0
3695615,3.249,9.172,1.638,0.062,-0.048,-0.029,2388,0
3695635,3.189,9.275,1.647,0.046,-0.043,-0.016,2390,0
3695655,3.163,9.254,1.681,0.038,-0.037,0.002,2390,0
3695675,3.223,8.99,1.709,0.024,-0.025,0.002,2390,0
3695695,3.256,8.906,1.743,0.051,-0.024,-0.014,2389,0
3695715,3.235,9.017,1.781,0.067,-0.021,-0.021,2389,0
3695735,3.139,9.05,1.82,0.061,-0.015,-0.015,2388,0
3695755,3.093,9.045,1.784,0.052,-0.01,-0.016,2388,0
3695775,3.139,8.938,1.748,0.046,-0.008,-0.026,2388,0
3695795,3.213,8.959,1.714,0.055,-0.002,-0.043,2387,0
3695815,3.168,9.143,1.769,0.05,0.006,-0.046,2389,0
3695835,3.055,9.306,1.82,0.041,0.005,-0.033,2390,0
3695855,3.021,9.299,1.834,0.032,-0.003,-0.021,2389,0
3695875,3.079,9.215,1.81,0.05,-0.013,-0.017,2390,0
3695895,3.179,9.23,1.76,0.072,-0.025,-0.014,2391,0
3695915,3.168,9.234,1.755,0.052,-0.022,-0.012,2390,0
3695935,3.091,9.227,1.805,0.039,-0.017,-0.012,2392,0
3695955,3.098,9.172,1.846,0.047,-0.02,0.001,2390,0
3695975,3.187,9.093,1.827,0.059,-0.027,0.01,2390,0
3695995,3.244,9.117,1.817,0.062,-0.021,0.003,2392,0
3696015,3.115,9.141,1.872,0.052,-0.017,0.002,2391,0
3696035,3.043,9.124,1.824,0.042,-0.023,0.01,2391,0
3696055,3.093,9.045,1.82,0.031,-0.025,0.01,2390,0
3696075,3.139,8.981,1.817,0.046,-0.025,-0.003,2391,0
3696095,3.084,9.084,1.841,0.063,-0.022,-0.015,2391,0
3696115,3.017,9.213,1.812,0.046,-0.027,-0.01,2392,0
3696135,3.084,9.112,1.901,0.028,-0.02,0.014,2392,0
3696155,3.141,9.052,1.958,0.049,-0.007,0.011,2391,0
3696175,3.146,9.048,2.009,0.042,-0.018,-0.001,2390,0
3696195,3.122,9.064,1.985,0.028,-0.042,-0.015,2391,0
3696215,3.105,9.081,1.875,0.014,-0.053,-0.037,2391,0
3696235,3.041,9.074,1.767,0.024,-0.053,-0.038,2391,0
3696255,3.096,9.158,1.683,0.038,-0.053,-0.03,2392,0
3696275,3.151,9.177,1.724,0.033,-0.05,-0.021,2390,0
3696295,3.122,9.199,1.695,0.039,-0.05,-0.012,2390,0
3696315,3.117,9.196,1.666,0.041,-0.047,-0.002,2390,0
3696335,3.153,9.172,1.621,0.044,-0.042,-0.006,2392,0
3696355,3.206,9.189,1.678,0.048,-0.031,0.004,2392,0
3696375,3.191,9.158,1.724,0.042,-0.026,0.007,2391,0
3696395,3.115,9.084,1.786,0.044,-0.026,0.001,2393,0
3696415,3.072,9.088,1.836,0.066,-0.023,0.001,2391,0
3696435,3.062,9.158,1.844,0.063,-0.026,0.009,2392,0
3696455,3.086,9.167,1.932,0.037,-0.035,0.009,2391,0
3696475,3.105,9.057,1.937,0.029,-0.044,0.004,2392,0
3696495,3.108,8.997,1.879,0.052,-0.047,0.001,2394,0
3696515,3.091,9.086,1.844,0.061,-0.047,-0.001,2395,0
3696535,3.077,9.1,1.846,0.048,-0.047,-0.004,2393,0
