3881726,0.347,5.148,3.797,-1.061,-2.633,-1.439,2349,0
3881746,1.228,5.016,3.093,-0.883,-2.514,-1.68,2359,0
3881766,1.743,5.217,2.404,-0.712,-2.344,-1.868,2366,0
3881786,2.057,6.416,1.587,-0.761,-2.144,-2.106,2368,0
3881806,2.028,7.439,0.769,-0.84,-1.837,-2.33,2368,0
3881826,1.561,8.605,0.527,-0.633,-1.531,-2.379,2366,0
3881846,1.319,10.551,0.333,-0.233,-1.293,-2.265,2365,0
3881866,1.197,12.601,0.192,0.019,-1.102,-2.013,2365,0
3881886,1.417,13.625,0.034,0.052,-1.046,-1.581,2365,0
3881906,2.167,13.302,-0.127,0.082,-0.975,-1.025,2365,0
3881926,3.297,12.198,0.587,0.204,-0.766,-0.605,2363,0
3881946,4.073,11.226,1.779,0.425,-0.478,-0.292,2362,0
3881966,4.235,10.451,2.519,0.541,-0.347,-0.139,2355,0
3881986,4.458,9.967,2.95,0.564,-0.376,-0.045,2352,0
3882006,4.865,9.761,3.115,0.395,-0.404,-0.013,2351,0
3882026,5.04,9.237,3.428,0.099,-0.329,-0.054,2347,0
3882046,4.949,8.746,3.967,0.031,-0.267,-0.112,2341,0
3882066,4.846,8.526,4.075,0.169,-0.232,-0.115,2333,0
3882086,4.496,8.586,4.137,0.357,-0.168,-0.069,2327,0
3882106,3.929,8.93,4.226,0.474,-0.105,-0.011,2325,0
3882126,3.304,9.488,4.305,0.417,-0.059,0.021,2324,0
3882146,2.818,9.471,4.482,0.254,-0.089,0.019,2323,0
3882166,2.751,9.287,4.492,0.166,-0.169,0.055,2324,0
3882186,2.875,8.902,4.441,0.195,-0.212,0.09,2322,0
3882206,2.954,8.796,4.317,0.281,-0.191,0.116,2322,0
3882226,2.974,8.839,4.231,0.325,-0.152,0.148,2323,0
3882246,3.021,8.859,4.195,0.218,-0.131,0.157,2322,0
3882266,3.005,8.507,4.341,0.103,-0.125,0.136,2323,0
3882286,3.017,8.456,4.31,0.077,-0.127,0.115,2323,0
3882306,3.072,8.341,4.266,0.04,-0.101,0.102,2322,0
3882326,3.16,8.167,4.295,0.073,-0.07,0.099,2322,0
3882346,3.108,8.135,4.247,0.145,-0.018,0.102,2322,0
3882366,3.077,8.253,4.173,0.153,-0.006,0.094,2322,0
3882386,3.141,8.313,4.14,0.058,-0.016,0.072,2322,0
3882406,3.108,8.231,4.415,0.001,-0.019,0.051,2321,0
3882426,2.986,8.25,4.566,0.085,-0.036,0.063,2321,0
3882446,2.947,8.442,4.446,0.155,-0.072,0.087,2321,0
3882466,3.124,8.437,4.259,0.118,-0.104,0.086,2321,0
3882486,3.426,8.317,4.128,0.036,-0.106,0.079,2320,0
3882506,3.517,8.025,4.238,-0.011,-0.063,0.074,2322,0
