1014717,2.071,9.21,1.259,-0.068,0.013,-0.012,1695,0,0
1014737,2.081,9.242,1.226,-0.047,0.01,-0.008,1696,0,0
1014757,2.054,9.213,1.204,-0.056,0.01,-0.005,1695,0,0
1014777,2.073,9.232,1.188,-0.058,0.021,-0.008,1695,0,0
1014797,2.09,9.239,1.173,-0.062,0.036,-0.002,1694,0,0
1014817,2.109,9.175,1.3,-0.092,0.039,-0.006,1695,0,0
1014837,2.1,9.122,1.355,-0.081,0.035,-0.017,1695,0,0
1014857,2.121,9.189,1.348,-0.052,0.024,-0.019,1695,0,0
1014877,2.133,9.201,1.365,-0.058,0.018,-0.018,1694,0,0
1014897,2.143,9.227,1.322,-0.064,0.016,-0.014,1695,0,0
1014917,2.164,9.215,1.305,-0.058,0.009,-0.011,1695,0,0
1014937,2.148,9.234,1.314,-0.079,0.009,-0.014,1694,0,0
1014957,2.097,9.266,1.276,-0.058,0.001,-0.021,1695,0,0
1014977,2.09,9.378,1.24,-0.034,-0.004,-0.01,1695,0,0
1014997,2.097,9.342,1.192,-0.061,0.005,0.001,1695,0,0
1015017,2.116,9.244,1.202,-0.073,0.015,0.007,1694,0,0
1015037,2.131,9.165,1.269,-0.062,0.016,0.006,1694,0,0
1015057,2.095,9.16,1.331,-0.063,0.01,-0.004,1695,0,0
1015077,2.059,9.179,1.298,-0.048,0.003,-0.007,1695,0,0
1015097,2.097,9.239,1.271,-0.04,0.008,0.0,1695,0,0
1015117,2.131,9.177,1.298,-0.055,0.015,0.002,1696,0,0
1015137,2.164,9.112,1.262,-0.086,0.012,-0.005,1695,0,0
1015157,2.148,9.134,1.264,-0.069,0.011,-0.013,1698,0,0
1015177,2.105,9.251,1.279,-0.052,0.011,-0.017,1696,0,0
1015197,2.037,9.361,1.264,-0.036,0.012,-0.012,1695,0,0
1015217,2.054,9.376,1.259,-0.043,0.01,0.002,1695,0,0
1015237,2.105,9.242,1.238,-0.08,0.012,0.009,1695,0,0
1015257,2.188,9.163,1.231,-0.071,0.014,0.003,1695,0,0
1015277,2.128,9.227,1.29,-0.049,0.027,0.003,1696,0,0
1015297,2.049,9.268,1.319,-0.051,0.02,0.006,1695,0,0
1015317,2.073,9.268,1.293,-0.054,0.005,0.004,1695,0,0
1015337,2.116,9.27,1.274,-0.062,-0.001,-0.001,1695,0,0
1015357,2.193,9.28,1.228,-0.065,0.01,0.005,1694,0,0
1015377,2.198,9.266,1.288,-0.058,0.018,0.015,1694,0,0
1015397,2.186,9.234,1.341,-0.067,0.015,0.019,1694,0,0
1015417,2.131,9.179,1.293,-0.073,-0.002,0.017,1694,0,0
