1466017,4.673,3.349,7.791,-0.098,-0.017,-0.04,1581,0,0
1466037,4.7,3.349,7.712,-0.045,-0.021,-0.045,1581,0,0
1466057,4.652,3.412,7.599,-0.056,-0.014,-0.049,1580,0,0
1466077,4.642,3.443,7.649,-0.049,-0.003,-0.044,1580,0,0
1466097,4.573,3.484,7.649,-0.042,-0.008,-0.034,1580,0,0
1466117,4.614,3.484,7.63,-0.063,-0.017,-0.03,1581,0,0
1466137,4.633,3.417,7.678,-0.059,-0.021,-0.033,1581,0,0
1466157,4.65,3.522,7.697,-0.024,-0.028,-0.024,1580,0,0
1466177,4.676,3.536,7.757,-0.015,-0.026,-0.021,1580,0,0
1466196,4.657,3.589,7.709,-0.011,-0.016,-0.017,1580,0,0
1466217,4.604,3.706,7.702,-0.019,-0.019,0.011,1580,0,0
1466236,4.594,3.685,7.776,-0.057,-0.033,0.046,1581,0,0
1466257,4.628,3.563,7.769,-0.071,-0.048,0.068,1580,0,0
1466277,4.7,3.443,7.64,-0.061,-0.047,0.069,1580,0,0
1466297,4.697,3.361,7.547,-0.06,-0.03,0.052,1581,0,0
1466317,4.705,3.34,7.556,-0.055,-0.029,0.021,1580,0,0
1466337,4.702,3.333,7.609,-0.065,-0.026,-0.004,1580,0,0
1466357,4.784,3.323,7.59,-0.043,-0.03,-0.026,1578,0,0
1466377,4.822,3.314,7.494,-0.063,-0.013,-0.042,1581,0,0
1466396,4.817,3.349,7.547,-0.051,-0.002,-0.052,1580,0,0
1466417,4.822,3.472,7.599,-0.016,-0.011,-0.045,1579,0,0
1466437,4.851,3.584,7.587,-0.051,-0.015,-0.03,1578,0,0
1466457,4.853,3.522,7.499,-0.063,-0.007,-0.01,1577,0,0
1466477,4.757,3.455,7.4,-0.017,0.011,-0.01,1578,0,0
1466497,4.662,3.546,7.381,-0.012,0.038,-0.015,1580,0,0
1466517,4.645,3.644,7.465,-0.039,0.05,-0.006,1578,0,0
1466537,4.695,3.608,7.561,-0.054,0.054,0.008,1578,0,0
1466557,4.738,3.603,7.599,-0.043,0.067,0.013,1579,0,0
1466577,4.741,3.613,7.654,-0.029,0.076,0.016,1578,0,0
1466597,4.685,3.677,7.745,0.004,0.069,0.032,1577,0,0
1466617,4.623,3.824,7.796,-0.03,0.041,0.072,1577,0,0
1466637,4.69,3.666,7.865,-0.092,0.008,0.11,1575,0,0
1466657,4.724,3.445,7.74,-0.074,-0.007,0.107,1577,0,0
1466677,4.693,3.373,7.616,-0.03,-0.01,0.079,1577,0,0
1466697,4.645,3.381,7.53,-0.042,-0.012,0.059,1576,0,0
1466717,4.729,3.359,7.547,-0.065,-0.016,0.045,1576,0,0
1466737,4.786,3.251,7.539,-0.085,-0.007,0.019,1578,0,0
1466757,4.82,3.225,7.563,-0.059,0.005,-0.018,1576,0,0
1466777,4.829,3.27,7.585,-0.042,0.006,-0.048,1577,0,0
1466797,4.82,3.424,7.616,-0.033,0.008,-0.056,1577,0,0
1466817,4.841,3.515,7.606,-0.043,-0.003,-0.05,1577,0,0
1466837,4.829,3.462,7.542,-0.049,0.004,-0.046,1577,0,0
1466857,4.764,3.541,7.491,-0.01,0.009,-0.044,1575,0,0
1466877,4.705,3.589,7.448,-0.031,0.026,-0.041,1577,0,0
1466897,4.65,3.613,7.472,-0.03,0.038,-0.036,1577,0,0
1466917,4.626,3.654,7.535,-0.033,0.047,-0.026,1577,0,0
1466937,4.659,3.68,7.578,-0.043,0.054,-0.014,1577,0,0
1466956,4.688,3.716,7.649,-0.045,0.053,0.002,1577,0,0
1466977,4.702,3.752,7.693,-0.047,0.044,0.024,1578,0,0
1466996,4.741,3.713,7.685,-0.054,0.033,0.047,1577,0,0
1467017,4.719,3.646,7.647,-0.047,0.025,0.058,1576,0,0
1467037,4.705,3.63,7.621,-0.053,0.015,0.062,1577,0,0
1467057,4.736,3.503,7.626,-0.08,0.01,0.06,1576,0,0
1467076,4.693,3.364,7.563,-0.08,0.013,0.048,1576,0,0
1467097,4.719,3.292,7.57,-0.068,0.006,0.017,1576,0,0
1467117,4.772,3.256,7.604,-0.07,0.012,-0.017,1576,0,0
1467137,4.764,3.273,7.585,-0.051,0.014,-0.047,1577,0,0
1467157,4.743,3.417,7.649,-0.06,0.008,-0.066,1577,0,0
1467177,4.829,3.419,7.697,-0.082,-0.005,-0.072,1577,0,0
1467197,4.841,3.469,7.666,-0.051,-0.007,-0.068,1577,0,0
1467217,4.774,3.522,7.554,-0.02,-0.005,-0.066,1577,0,0
1467237,4.69,3.567,7.487,-0.02,-0.003,-0.058,1576,0,0
1467257,4.666,3.642,7.436,-0.01,0.005,-0.05,1577,0,0
1467277,4.654,3.673,7.41,-0.038,0.021,-0.042,1575,0,0
1467297,4.652,3.67,7.405,-0.052,0.045,-0.036,1577,0,0
1467316,4.657,3.68,7.47,-0.024,0.059,-0.029,1577,0,0
1467337,4.659,3.788,7.549,-0.023,0.066,-0.012,1576,0,0
1467357,4.683,3.783,7.673,-0.037,0.064,0.009,1576,0,0
1467377,4.662,3.802,7.743,-0.034,0.049,0.029,1576,0,0
1467397,4.669,3.761,7.731,-0.072,0.034,0.049,1576,0,0
1467417,4.662,3.596,7.693,-0.071,0.026,0.057,1576,0,0
1467437,4.64,3.524,7.597,-0.047,0.014,0.048,1576,0,0
1467457,4.614,3.5,7.599,-0.071,0.007,0.035,1576,0,0
1467477,4.695,3.407,7.633,-0.082,-0.002,0.018,1576,0,0
1467497,4.709,3.342,7.582,-0.074,-0.003,-0.011,1576,0,0
1467517,4.702,3.338,7.621,-0.061,-0.003,-0.043,1576,0,0
1467537,4.75,3.433,7.64,-0.055,-0.007,-0.068,1576,0,0
1467557,4.731,3.572,7.649,-0.062,-0.016,-0.07,1576,0,0
1467577,4.757,3.622,7.587,-0.068,-0.023,-0.05,1577,0,0
1467596,4.75,3.606,7.513,-0.057,-0.019,-0.041,1578,0,0
