1719328,9.792,0.036,0.259,0.046,-0.046,-0.008,2628,0
1719348,9.852,0.012,0.275,0.044,-0.016,-0.006,2626,0
1719368,9.816,0.0,0.354,0.061,0.001,-0.02,2627,0
1719388,9.74,0.065,0.429,0.067,-0.025,-0.018,2627,0
1719408,9.843,0.048,0.345,0.049,-0.054,0.004,2627,0
1719428,9.941,-0.065,0.283,0.041,-0.041,0.011,2627,0
1719448,9.96,-0.196,0.283,0.033,-0.015,-0.007,2627,0
1719468,9.888,-0.206,0.405,0.041,-0.003,-0.028,2628,0
1719488,9.845,-0.093,0.441,0.051,-0.006,-0.027,2627,0
1719508,9.809,0.019,0.409,0.035,-0.03,-0.007,2629,0
1719528,9.85,-0.01,0.421,0.018,-0.036,0.014,2627,0
1719548,9.852,-0.072,0.419,0.013,-0.025,0.022,2628,0
1719568,9.823,-0.11,0.419,0.027,-0.019,0.003,2626,0
1719588,9.728,-0.05,0.333,0.036,-0.028,-0.009,2627,0
1719608,9.73,0.002,0.175,0.028,-0.042,-0.0,2627,0
1719628,9.811,-0.048,0.187,0.01,-0.009,0.011,2628,0
1719648,9.864,-0.086,0.357,0.031,0.019,-0.007,2627,0
1719668,9.843,-0.026,0.464,0.064,0.013,-0.025,2628,0
1719688,9.811,0.012,0.436,0.062,-0.027,-0.019,2627,0
1719708,9.799,-0.031,0.352,0.033,-0.049,0.001,2627,0
1719728,9.84,-0.129,0.326,0.018,-0.053,0.004,2627,0
1719748,9.893,-0.158,0.294,0.045,-0.038,-0.016,2627,0
1719768,9.862,-0.036,0.249,0.07,-0.012,-0.037,2629,0
1719788,9.73,0.026,0.347,0.057,-0.015,-0.031,2628,0
1719808,9.811,0.041,0.397,0.051,-0.033,-0.019,2626,0
1719829,9.864,-0.014,0.395,0.047,-0.027,-0.008,2628,0
1719848,9.871,-0.043,0.46,0.051,-0.024,-0.012,2628,0
1719868,9.862,-0.014,0.412,0.071,-0.019,-0.023,2628,0
1719888,9.811,0.014,0.364,0.074,-0.017,-0.025,2628,0
1719908,9.797,0.017,0.39,0.054,-0.012,-0.011,2628,0
1719928,9.807,-0.048,0.443,0.039,-0.024,-0.003,2627,0
1719948,9.9,-0.043,0.438,0.05,-0.015,-0.006,2627,0
1719968,9.874,-0.022,0.443,0.064,-0.008,-0.011,2628,0
1719988,9.809,0.014,0.412,0.048,-0.008,-0.005,2627,0
1720008,9.852,-0.081,0.421,0.022,-0.027,-0.003,2627,0
1720028,9.874,-0.113,0.436,0.027,-0.025,-0.018,2627,0
1720048,9.926,-0.038,0.373,0.055,-0.023,-0.038,2629,0
1720068,9.867,0.096,0.395,0.059,-0.005,-0.03,2628,0
1720088,9.855,0.113,0.445,0.035,-0.013,0.003,2627,0
1720108,9.912,0.014,0.431,0.018,-0.028,0.024,2627,0
1720128,9.926,-0.101,0.414,0.028,-0.023,0.012,2629,0
1720148,9.89,-0.077,0.431,0.073,-0.028,-0.026,2627,0
1720168,9.847,0.108,0.417,0.102,-0.017,-0.04,2628,0
1720188,9.742,0.117,0.5,0.096,-0.014,-0.023,2626,0
1720208,9.699,0.172,0.421,0.051,-0.043,0.015,2628,0
1720228,9.74,-0.026,0.359,0.013,-0.065,0.033,2627,0
1720248,9.876,-0.187,0.292,0.039,-0.038,0.003,2628,0
1720268,9.85,-0.158,0.323,0.067,0.01,-0.04,2627,0
1720288,9.785,-0.012,0.436,0.079,0.02,-0.055,2627,0
1720308,9.761,0.144,0.517,0.058,-0.006,-0.024,2628,0
1720328,9.79,0.144,0.534,0.025,-0.033,0.009,2627,0
1720348,9.883,-0.062,0.412,0.017,-0.044,0.014,2629,0
1720368,9.912,-0.18,0.362,0.043,-0.026,-0.018,2627,0
1720388,9.886,-0.101,0.354,0.072,-0.01,-0.052,2628,0
1720408,9.821,0.057,0.4,0.07,0.01,-0.06,2628,0
1720428,9.764,0.172,0.493,0.052,-0.013,-0.035,2628,0
1720448,9.799,0.187,0.472,0.021,-0.037,-0.004,2627,0
1720468,9.886,0.053,0.469,0.021,-0.041,0.007,2625,0
1720488,9.967,-0.019,0.441,0.059,-0.024,-0.008,2627,0
1720508,9.914,-0.026,0.474,0.082,-0.002,-0.023,2629,0
1720528,9.802,0.057,0.498,0.069,-0.008,-0.015,2629,0
1720548,9.766,0.074,0.524,0.05,-0.052,-0.004,2627,0
1720568,9.819,0.06,0.397,0.039,-0.064,0.008,2628,0
1720589,9.893,-0.026,0.371,0.038,-0.026,0.004,2629,0
1720608,9.881,0.01,0.453,0.082,0.02,-0.014,2629,0
1720628,9.79,0.113,0.524,0.114,0.036,-0.019,2628,0
1720648,9.768,0.091,0.589,0.1,0.005,-0.014,2628,0
1720668,9.857,0.012,0.515,0.058,-0.045,0.001,2626,0
1720688,9.977,-0.065,0.484,0.033,-0.035,0.01,2627,0
1720708,9.929,-0.036,0.536,0.056,-0.018,-0.014,2628,0
1720728,9.811,0.117,0.548,0.093,-0.018,-0.031,2627,0
1720748,9.708,0.206,0.553,0.085,-0.037,-0.012,2627,0
1720768,9.737,0.103,0.584,0.048,-0.062,0.009,2628,0
1720788,9.816,0.005,0.529,0.049,-0.064,0.006,2626,0
1720808,9.768,-0.031,0.395,0.086,-0.041,-0.027,2626,0
1720828,9.701,0.043,0.314,0.099,-0.023,-0.039,2628,0
1720848,9.744,0.084,0.393,0.093,-0.003,-0.036,2626,0
1720868,9.773,0.12,0.534,0.057,0.025,-0.013,2628,0
1720888,9.814,0.069,0.69,0.039,0.017,0.003,2627,0
1720908,9.855,0.048,0.666,0.051,-0.012,-0.005,2627,0
1720928,9.902,0.024,0.57,0.059,-0.024,-0.016,2627,0
1720948,9.902,0.065,0.582,0.035,-0.025,-0.005,2627,0
1720968,9.929,-0.041,0.534,0.01,-0.046,0.01,2627,0
1720988,9.929,-0.072,0.539,0.022,-0.055,-0.004,2628,0
1721008,9.914,0.036,0.388,0.051,-0.047,-0.033,2627,0
1721028,9.857,0.127,0.395,0.071,-0.015,-0.046,2626,0
1721048,9.778,0.242,0.532,0.059,-0.012,-0.023,2626,0
1721068,9.807,0.223,0.575,0.036,-0.046,0.022,2627,0
1721088,9.878,0.096,0.455,0.031,-0.057,0.044,2630,0
1721108,9.857,-0.036,0.354,0.056,-0.044,0.019,2627,0
1721128,9.819,-0.019,0.369,0.085,-0.016,-0.018,2627,0
1721148,9.761,0.115,0.479,0.06,0.006,-0.009,2628,0
1721168,9.749,0.072,0.594,0.038,-0.012,0.015,2628,0
1721189,9.785,0.045,0.577,0.058,-0.025,0.007,2626,0
1721208,9.84,0.053,0.469,0.074,-0.031,-0.014,2627,0
1721228,9.84,0.062,0.493,0.054,-0.011,-0.015,2627,0
1721248,9.84,0.045,0.567,0.042,-0.011,-0.002,2628,0
1721268,9.828,-0.024,0.579,0.044,-0.033,-0.001,2627,0
1721288,9.89,0.017,0.474,0.054,-0.039,-0.01,2628,0
1721308,9.876,0.081,0.488,0.043,-0.013,-0.004,2630,0
1721328,9.816,0.072,0.644,0.03,-0.027,0.01,2629,0
1721348,9.85,0.007,0.656,0.028,-0.058,0.009,2627,0
1721368,9.833,-0.019,0.541,0.044,-0.068,-0.011,2627,0
1721388,9.768,0.038,0.376,0.052,-0.053,-0.024,2627,0
1721408,9.764,0.048,0.347,0.05,-0.026,-0.015,2628,0
1721428,9.776,0.091,0.476,0.019,-0.002,-0.007,2627,0
1721448,9.768,0.036,0.606,0.023,-0.008,-0.017,2626,0
1721468,9.838,0.086,0.551,0.051,-0.023,-0.021,2628,0
1721488,9.838,0.139,0.579,0.028,-0.003,-0.003,2627,0
1721508,9.864,0.096,0.685,0.017,-0.021,0.015,2627,0
1721528,9.941,-0.007,0.63,0.028,-0.035,0.011,2627,0
1721548,9.931,-0.041,0.591,0.035,-0.048,-0.002,2628,0
1721568,9.907,-0.019,0.527,0.034,-0.043,-0.014,2628,0
1721588,9.874,0.05,0.548,0.026,-0.054,-0.017,2627,0
1721608,9.881,0.117,0.555,0.037,-0.045,-0.011,2627,0
1721628,9.826,0.101,0.532,0.033,-0.048,0.006,2627,0
1721751,9.792,0.0,0.464,0.029,-0.038,-0.001,2629,0
1721771,9.766,0.038,0.448,0.037,-0.025,-0.015,2626,0
1721791,9.78,0.077,0.52,0.027,-0.031,-0.012,2627,0
1721811,9.869,0.026,0.5,0.021,-0.037,-0.01,2627,0
1721831,9.831,-0.031,0.469,0.048,-0.031,-0.027,2628,0
1721851,9.823,0.077,0.393,0.056,-0.014,-0.041,2628,0
1721871,9.771,0.124,0.472,0.035,0.001,-0.028,2626,0
1721891,9.756,0.084,0.577,0.006,-0.023,-0.018,2627,0
1721911,9.768,-0.022,0.567,0.025,-0.052,-0.039,2627,0
1721931,9.823,0.115,0.476,0.072,-0.055,-0.069,2630,0
1721951,9.797,0.249,0.412,0.075,-0.028,-0.058,2629,0
1721971,9.73,0.294,0.543,0.055,-0.023,-0.022,2629,0
1721991,9.778,0.196,0.522,0.039,-0.038,-0.003,2628,0
1722011,9.898,0.065,0.486,0.032,-0.037,-0.0,2629,0
1722031,9.969,0.002,0.522,0.053,-0.013,-0.011,2628,0
1722051,9.946,0.045,0.551,0.067,-0.002,-0.02,2626,0
1722071,9.888,0.091,0.591,0.054,-0.005,-0.003,2626,0
1722091,9.893,0.093,0.596,0.015,-0.011,0.026,2627,0
1722111,9.969,0.017,0.682,0.003,-0.03,0.027,2627,0
1722131,10.005,0.007,0.625,0.031,-0.046,0.01,2628,0
1722151,9.955,0.074,0.546,0.049,-0.045,-0.006,2627,0
1722171,9.871,0.139,0.548,0.038,-0.039,-0.007,2627,0
1722191,9.811,0.127,0.515,0.023,-0.059,-0.0,2629,0
1722211,9.768,0.136,0.426,0.022,-0.088,0.003,2629,0
1722231,9.823,0.151,0.302,0.029,-0.092,0.011,2628,0
1722251,9.787,0.093,0.338,0.039,-0.049,0.013,2628,0
1722271,9.754,0.17,0.397,0.063,-0.028,0.006,2627,0
1722291,9.673,0.168,0.481,0.061,-0.033,0.014,2629,0
1722311,9.732,0.096,0.431,0.057,-0.052,0.025,2629,0
1722331,9.783,0.01,0.4,0.058,-0.043,0.026,2627,0
1722351,9.799,0.041,0.378,0.072,-0.018,0.012,2627,0
1722371,9.804,0.067,0.474,0.082,0.013,-0.003,2626,0
1722391,9.797,0.096,0.62,0.061,0.014,0.007,2628,0
1722411,9.855,-0.045,0.68,0.037,-0.016,0.023,2626,0
1722432,9.917,-0.18,0.615,0.044,-0.042,0.001,2628,0
1722451,9.912,-0.101,0.57,0.054,-0.037,-0.03,2629,0
1722471,9.881,0.077,0.539,0.05,-0.012,-0.033,2629,0
1722491,9.752,0.192,0.57,0.053,-0.026,-0.021,2628,0
1722511,9.725,0.227,0.517,0.049,-0.047,-0.005,2627,0
1722531,9.773,0.11,0.479,0.043,-0.046,0.004,2629,0
1722551,9.768,0.038,0.457,0.051,-0.022,-0.002,2628,0
1722571,9.761,0.005,0.409,0.069,-0.012,-0.019,2628,0
1722591,9.737,0.057,0.515,0.089,-0.001,-0.042,2629,0
1722611,9.694,0.215,0.517,0.081,-0.007,-0.036,2628,0
1722631,9.816,0.187,0.52,0.045,-0.018,0.006,2628,0
1722651,9.929,-0.007,0.555,0.019,-0.012,0.031,2630,0
1722671,9.989,-0.129,0.658,0.041,-0.001,0.009,2629,0
1722692,9.948,-0.086,0.632,0.078,0.001,-0.034,2628,0
1722711,9.917,0.091,0.642,0.076,-0.027,-0.03,2626,0
1722731,9.972,0.086,0.678,0.007,-0.047,0.023,2628,0
1722751,10.015,-0.081,0.69,-0.01,-0.065,0.03,2627,0
1722771,9.977,-0.081,0.539,0.057,-0.074,-0.025,2627,0
1722791,9.85,0.163,0.409,0.086,-0.047,-0.042,2628,0
1722811,9.744,0.321,0.484,0.055,-0.038,-0.003,2627,0
1722831,9.785,0.263,0.582,0.006,-0.044,0.048,2628,0
1722851,9.831,0.053,0.608,0.019,-0.043,0.058,2627,0
1722871,9.797,0.0,0.543,0.067,-0.049,0.03,2627,0
1722891,9.773,0.084,0.395,0.09,-0.035,0.013,2629,0
1722911,9.699,0.096,0.455,0.055,-0.01,0.032,2627,0
1722931,9.675,-0.01,0.546,0.019,-0.025,0.04,2627,0
1722952,9.78,-0.093,0.57,0.019,-0.041,0.023,2629,0
1722971,9.871,-0.062,0.5,0.046,-0.029,-0.002,2630,0
1722991,9.835,-0.038,0.498,0.067,0.0,-0.022,2628,0
1723011,9.79,0.057,0.596,0.058,-0.0,-0.025,2627,0
1723031,9.764,0.079,0.637,0.023,-0.039,-0.004,2628,0
1723051,9.922,0.002,0.646,0.008,-0.074,0.009,2627,0
1723071,9.924,-0.043,0.596,0.042,-0.052,-0.012,2627,0
1723091,9.79,0.06,0.529,0.095,-0.047,-0.044,2626,0
1723111,9.73,0.18,0.438,0.086,-0.044,-0.035,2627,0
1723132,9.692,0.151,0.5,0.019,-0.051,0.016,2626,0
1723151,9.867,-0.043,0.625,0.002,-0.054,0.036,2628,0
1723171,9.895,-0.18,0.615,0.043,-0.037,-0.003,2627,0
1723191,9.833,-0.115,0.493,0.084,-0.023,-0.049,2628,0
1723211,9.74,0.084,0.426,0.073,-0.008,-0.047,2627,0
1723231,9.72,0.127,0.472,0.029,-0.009,-0.005,2627,0
1723251,9.799,0.029,0.551,-0.009,-0.01,0.027,2627,0
1723271,9.907,-0.108,0.651,0.001,-0.004,0.022,2627,0
1723291,9.948,-0.117,0.637,0.041,-0.011,-0.02,2627,0
1723311,9.888,0.014,0.587,0.074,-0.01,-0.049,2626,0
1723331,9.749,0.237,0.51,0.05,-0.016,-0.033,2628,0
1723351,9.732,0.177,0.534,0.002,-0.057,0.003,2626,0
1723371,9.867,0.057,0.462,0.007,-0.049,0.014,2627,0
1723391,9.912,-0.065,0.46,0.042,-0.008,-0.011,2627,0
1723411,9.84,0.012,0.515,0.089,0.009,-0.044,2627,0
1723431,9.713,0.208,0.524,0.068,0.015,-0.03,2628,0
1723451,9.663,0.163,0.594,0.014,-0.041,0.007,2626,0
1723471,9.876,0.026,0.553,0.016,-0.059,0.018,2626,0
1723491,9.929,-0.036,0.532,0.039,-0.018,0.003,2627,0
1723511,9.867,-0.029,0.587,0.081,0.003,-0.032,2628,0
1723531,9.814,0.096,0.608,0.108,0.003,-0.039,2627,0
1723551,9.737,0.098,0.57,0.04,-0.015,-0.015,2627,0
1723571,9.907,0.057,0.587,0.025,-0.025,0.01,2628,0
1723591,9.96,-0.096,0.687,0.007,-0.01,0.011,2627,0
1723611,9.931,-0.101,0.728,0.048,-0.017,-0.027,2627,0
1723631,9.855,0.086,0.654,0.084,-0.029,-0.051,2627,0
1723651,9.756,0.244,0.515,0.038,-0.042,-0.014,2627,0
1723671,9.795,0.17,0.594,-0.009,-0.041,0.027,2626,0
1723691,9.869,0.067,0.737,0.01,-0.038,0.024,2627,0
1723711,9.864,0.0,0.73,0.041,-0.04,-0.003,2627,0
1723731,9.778,0.022,0.603,0.079,-0.046,-0.037,2625,0
1723751,9.61,0.156,0.453,0.066,-0.043,-0.037,2627,0
1723772,9.656,0.148,0.453,0.031,-0.048,-0.013,2627,0
1723791,9.828,0.036,0.488,0.002,-0.015,0.007,2628,0
1723811,9.845,-0.11,0.649,0.008,0.009,-0.008,2627,0
1723831,9.835,-0.086,0.685,0.061,0.002,-0.053,2627,0
1723851,9.792,0.129,0.599,0.082,0.002,-0.066,2627,0
1723871,9.718,0.268,0.565,0.02,-0.008,-0.031,2627,0
1723891,9.895,0.122,0.639,-0.026,-0.044,0.014,2628,0
